place_id,userid,travel_date,point
54,2083,2016.1.23 0:10,5
54,8716,2016.1.20 0:10,4
54,8393,2016.1.1 0:10,4
54,217,2016.1.28 0:09,5
54,5674,2016.1.22 0:09,5
54,301,2016.1.8 0:09,4
54,6777,2016.1.7 0:09,4
54,452,2016.1.7 0:09,5
54,2304,2016.1.3 0:09,5
54,1367,2016.1.24 0:08,5
54,2142,2016.1.24 0:08,5
54,4839,2016.1.7 0:08,5
54,4054,2016.1.2 0:08,5
54,960,2016.1.26 0:07,5
54,1007,2016.1.26 0:07,5
54,632,2016.1.20 0:07,4
54,5600,2016.1.18 0:07,5
54,428,2016.1.17 0:07,5
54,6852,2016.1.15 0:07,5
54,3334,2016.1.10 0:07,3
54,7905,2016.1.9 0:07,5
54,4524,2016.1.6 0:07,5
54,8722,2016.1.5 0:07,5
54,4361,2016.1.29 0:06,5
54,6374,2016.1.25 0:06,5
54,978,2016.1.22 0:06,5
54,3160,2016.1.15 0:06,4
54,9201,2016.1.12 0:06,5
54,3910,2016.1.27 0:05,5
54,1150,2016.1.21 0:05,4
54,4047,2016.1.21 0:05,4
54,8500,2016.1.19 0:05,5
54,7968,2016.1.11 0:05,5
54,3783,2016.1.3 0:05,5
54,2817,2016.1.2 0:05,3
54,5390,2016.1.30 0:04,5
54,3360,2016.1.27 0:04,5
54,6968,2016.1.26 0:04,3
54,7756,2016.1.25 0:04,4
54,1834,2016.1.25 0:04,4
54,8668,2016.1.20 0:04,5
54,921,2016.1.12 0:04,5
54,3899,2016.1.9 0:04,4
54,6681,2016.1.8 0:04,4
54,8842,2016.1.1 0:04,5
54,8044,2016.1.26 0:03,5
54,7241,2016.1.19 0:03,5
54,407,2016.1.16 0:03,5
54,1835,2016.1.12 0:03,5
54,2449,2016.1.1 0:03,4
54,4874,2016.1.26 0:02,5
54,7409,2016.1.14 0:02,2
54,1098,2016.1.30 0:01,5
54,6142,2016.1.26 0:01,4
54,2598,2016.1.22 0:01,5
54,8980,2016.1.21 0:01,4
54,4178,2016.1.20 0:01,4
54,6564,2016.1.14 0:01,4
54,2450,2016.1.3 0:01,5
54,1681,2016.1.2 0:01,5
54,1920,2015.1.25 0:12,4
54,5516,2015.1.25 0:12,5
54,3420,2015.1.20 0:12,4
54,4168,2015.1.15 0:12,5
54,5719,2015.1.26 0:11,4
54,2015,2015.1.17 0:11,4
54,4282,2015.1.13 0:11,4
54,3777,2015.1.8 0:11,5
54,4698,2015.1.6 0:11,5
54,4138,2015.1.1 0:11,5
54,394,2015.1.31 0:10,3
54,1679,2015.1.28 0:10,5
54,1753,2015.1.25 0:10,4
54,5548,2015.1.23 0:10,5
54,884,2015.1.18 0:10,3
54,3495,2015.1.18 0:10,4
54,9096,2015.1.4 0:10,4
54,4270,2015.1.1 0:10,3
54,1165,2015.1.30 0:09,4
54,4050,2015.1.28 0:09,5
54,9066,2015.1.19 0:09,3
54,4518,2015.1.16 0:09,4
54,6003,2015.1.12 0:09,5
54,9135,2015.1.8 0:09,4
54,6393,2015.1.28 0:08,5
54,9118,2015.1.19 0:08,4
54,6312,2015.1.14 0:08,3
54,4537,2015.1.12 0:08,4
54,2687,2015.1.10 0:08,4
54,6682,2015.1.17 0:07,4
54,647,2015.1.15 0:07,5
54,7043,2015.1.10 0:07,5
54,1379,2015.1.30 0:06,4
54,698,2015.1.26 0:06,5
54,8371,2015.1.11 0:06,5
54,6581,2015.1.30 0:05,3
54,1504,2015.1.18 0:05,4
54,4427,2015.1.15 0:05,4
54,4165,2015.1.12 0:05,4
54,870,2015.1.10 0:05,4
54,438,2015.1.9 0:05,5
54,3735,2015.1.9 0:05,5
54,3866,2015.1.4 0:05,4
54,13,2015.1.28 0:04,4
54,6825,2015.1.26 0:04,5
54,7331,2015.1.24 0:04,4
54,6148,2015.1.24 0:04,5
54,9055,2015.1.18 0:04,5
54,5892,2015.1.17 0:04,5
54,4318,2015.1.1 0:04,4
54,8732,2015.1.1 0:04,5
54,337,2015.1.30 0:03,4
54,9557,2015.1.23 0:03,5
54,8808,2015.1.18 0:02,4
54,6118,2015.1.11 0:02,5
54,1328,2015.1.3 0:01,4
54,9510,2014.1.30 0:12,4
54,6996,2014.1.22 0:11,5
54,6481,2014.1.17 0:11,5
54,5646,2014.1.13 0:11,5
54,326,2014.1.12 0:11,4
54,1093,2014.1.11 0:11,5
54,6231,2014.1.11 0:11,4
54,3523,2014.1.11 0:11,5
54,1070,2014.1.8 0:11,5
54,4767,2014.1.7 0:11,3
54,6354,2014.1.22 0:10,4
54,6313,2014.1.21 0:10,4
54,2791,2014.1.18 0:10,5
54,803,2014.1.10 0:10,2
54,5702,2014.1.8 0:10,4
54,2171,2014.1.8 0:10,4
54,714,2014.1.1 0:10,4
54,89,2014.1.5 0:09,4
54,4548,2014.1.23 0:08,4
54,2300,2014.1.10 0:08,4
54,3328,2014.1.5 0:08,4
54,4949,2014.1.9 0:07,5
54,1168,2014.1.2 0:06,4
54,95,2014.1.10 0:05,5
4,5732,2022.1.24 0:02,4
4,11474,2020.1.12 0:04,4
4,11164,2020.1.10 0:01,4
4,203,2019.1.12 0:11,5
4,7738,2019.1.7 0:06,4
4,6279,2018.1.8 0:10,5
4,10798,2017.1.23 0:11,5
